month,outlet_id,opt_price,opt_demand,opt_profit,opt_revenue
September,OUT010,250.0,15.0,923.347631832432,3750.0
September,OUT013,265.925,18.0,1642.3524295819743,4786.650000000001
September,OUT017,265.925,18.0,1642.3524295819743,4786.650000000001
September,OUT018,271.0,17.0,1603.9066707009465,4607.0
September,OUT019,250.0,15.0,923.347631832432,3750.0
September,OUT027,279.575,20.0,2117.7006755295297,5591.5
September,OUT035,265.925,18.0,1642.3524295819743,4786.650000000001
September,OUT045,265.925,18.0,1642.3524295819743,4786.650000000001
September,OUT046,265.925,18.0,1642.3524295819743,4786.650000000001
September,OUT049,265.925,18.0,1642.3524295819743,4786.650000000001
October,OUT010,304.25,14.0,1625.7459264764725,4259.5
October,OUT013,320.0,19.0,2774.2457553712475,6080.0
October,OUT017,320.0,19.0,2774.2457553712475,6080.0
October,OUT018,320.0,19.0,2807.4813840354873,6080.0
October,OUT019,304.25,14.0,1625.7459264764725,4259.5
October,OUT027,320.0,22.0,3393.081809993716,7040.0
October,OUT035,320.0,19.0,2774.2457553712475,6080.0
October,OUT045,320.0,19.0,2774.2457553712475,6080.0
October,OUT046,320.0,19.0,2774.2457553712475,6080.0
October,OUT049,320.0,19.0,2774.2457553712475,6080.0
November,OUT010,304.25,14.0,1625.7459264764725,4259.5
November,OUT013,320.0,19.0,2774.2457553712475,6080.0
November,OUT017,320.0,19.0,2774.2457553712475,6080.0
November,OUT018,320.0,19.0,2807.4813840354873,6080.0
November,OUT019,304.25,14.0,1625.7459264764725,4259.5
November,OUT027,320.0,22.0,3393.081809993716,7040.0
November,OUT035,320.0,19.0,2774.2457553712475,6080.0
November,OUT045,320.0,19.0,2774.2457553712475,6080.0
November,OUT046,320.0,19.0,2774.2457553712475,6080.0
November,OUT049,320.0,19.0,2774.2457553712475,6080.0
December,OUT010,264.0,13.0,943.969812411814,3432.0
December,OUT013,302.5,16.0,1854.4391823042652,4840.0
December,OUT017,302.5,16.0,1854.4391823042652,4840.0
December,OUT018,313.0,15.0,1868.9500623469107,4695.0
December,OUT019,264.0,13.0,943.969812411814,3432.0
December,OUT027,320.0,17.0,2452.349385130396,5440.0
December,OUT035,302.5,16.0,1854.4391823042652,4840.0
December,OUT045,302.5,16.0,1854.4391823042652,4840.0
December,OUT046,302.5,16.0,1854.4391823042652,4840.0
December,OUT049,302.5,16.0,1854.4391823042652,4840.0
